期权种类,期权参数,期权价格,期权误差,95%误差上界,95%误差下界,运行时间(s)
,,10.5227,0.229898,10.0721 , 10.9733, 0.000427,
,,5.63196,0.136195,5.36502 , 5.89891, 0.000418,
,,5.87479,0.133342,5.61344 , 6.13614, 0.115475,
,,3.3615,0.0791942,3.20628 , 3.51672, 0.115516,
,,5.52635,0.122138,5.28696 , 5.76573, 0.115572,
,,3.55223,0.0831021,3.38935 , 3.71511, 0.115517,
,,16.8315,0.23407,16.3728 , 17.2903, 0.115357,
,,13.6432,0.154681,13.3401 , 13.9464, 0.115407,
,,18.3715,0.236563,17.9079 , 18.8352, 0.115343,
,,11.9244,0.139682,11.6506 , 12.1982, 0.115361,
,,2.48394,0.0373822,2.41067 , 2.5572, 0.115953,
,,0.164934,0.00767007,0.1499 , 0.179967, 0.115978,
,,1.12704,0.0247093,1.07861 , 1.17547, 0.116117,
,,1.53753,0.0380581,1.46294 , 1.61213, 0.116285,
,,10.4897,0.11525,10.2638 , 10.7156, 0.001661,
,,5.59607,0.0681304,5.46254 , 5.72961, 0.001645,
,,6.01205,0.0678028,5.87916 , 6.14495, 0.462094,
,,3.21892,0.0394663,3.14157 , 3.29628, 0.462093,
,,5.61177,0.0619484,5.49036 , 5.73319, 0.462247,
,,3.5096,0.0419881,3.4273 , 3.59189, 0.46206,
,,16.5696,0.113046,16.348 , 16.7911, 0.461815,
,,13.4886,0.0769092,13.3379 , 13.6393, 0.461398,
,,18.4537,0.121562,18.2155 , 18.692, 0.46168,
,,11.761,0.0702371,11.6233 , 11.8986, 0.461428,
,,2.45835,0.0187455,2.42161 , 2.49509, 0.464448,
,,0.162694,0.00376664,0.155312 , 0.170077, 0.464221,
,,1.14296,0.0124221,1.11861 , 1.1673, 0.464837,
,,1.51096,0.0188794,1.47396 , 1.54797, 0.464987,
,,10.4859,0.0578201,10.3726 , 10.5992, 0.006782,
,,5.57112,0.0337357,5.505 , 5.63724, 0.006564,
,,6.00808,0.0335959,5.94223 , 6.07393, 1.84832,
,,3.25823,0.0196647,3.21969 , 3.29678, 1.84827,
,,5.56776,0.0306496,5.50768 , 5.62783, 1.84851,
,,3.49743,0.0210253,3.45622 , 3.53864, 1.84837,
,,16.552,0.056391,16.4415 , 16.6625, 1.84564,
,,13.5212,0.0385351,13.4457 , 13.5967, 1.84566,
,,18.2683,0.0598011,18.1511 , 18.3855, 1.8457,
,,11.7344,0.0349097,11.666 , 11.8028, 1.84577,
,,2.45554,0.0092901,2.43733 , 2.47375, 1.85589,
,,0.168808,0.00193803,0.16501 , 0.172607, 1.85713,
,,1.12395,0.00620944,1.11177 , 1.13612, 1.85821,
,,1.48499,0.00942634,1.46651 , 1.50346, 1.85894,
,,10.4685,0.0287279,10.4121 , 10.5248, 0.02719,
,,5.59985,0.0169788,5.56657 , 5.63313, 0.026331,
,,6.01549,0.0167434,5.98267 , 6.04831, 7.38853,
,,3.25601,0.00983231,3.23673 , 3.27528, 7.38766,
,,5.5688,0.0153192,5.53878 , 5.59883, 7.38694,
,,3.48417,0.0104752,3.46364 , 3.5047, 7.3881,
,,16.635,0.028419,16.5793 , 16.6907, 7.38189,
,,13.5457,0.0193007,13.5079 , 13.5836, 7.38269,
,,18.3562,0.0299077,18.2976 , 18.4148, 7.38227,
,,11.779,0.0174874,11.7448 , 11.8133, 7.38206,
,,2.44156,0.00461437,2.43252 , 2.4506, 7.43453,
,,0.167737,0.000963615,0.165848 , 0.169625, 7.44021,
,,1.12863,0.00311162,1.12253 , 1.13473, 7.4429,
,,1.49341,0.00472662,1.48415 , 1.50267, 7.44384,
,,10.4483,0.0143977,10.42 , 10.4765, 0.106525,
,,5.57346,0.00845672,5.55689 , 5.59004, 0.105212,
,,6.0327,0.00840225,6.01623 , 6.04917, 29.5764,
,,3.25608,0.00492495,3.24643 , 3.26573, 29.5765,
,,5.57957,0.00767348,5.56453 , 5.59461, 29.5767,
,,3.48777,0.00523613,3.47751 , 3.49804, 29.5769,
,,16.6309,0.0142205,16.6031 , 16.6588, 29.5321,
,,13.5398,0.00964516,13.5209 , 13.5587, 29.5338,
,,18.3952,0.0149802,18.3659 , 18.4246, 29.5318,
,,11.7784,0.00874143,11.7612 , 11.7955, 29.5336,
,,2.4446,0.00230948,2.44008 , 2.44913, 29.6961,
,,0.168373,0.000482831,0.167427 , 0.169319, 29.7152,
,,1.12401,0.00154952,1.12097 , 1.12705, 29.7274,
,,1.49278,0.00236219,1.48815 , 1.49741, 29.7408,
,,10.4488,0.00718409,10.4347 , 10.4628, 0.431644,
,,5.57384,0.00422958,5.56555 , 5.58213, 0.431121,
,,6.02061,0.00419168,6.01239 , 6.02882, 118.319,
,,3.25649,0.00246317,3.25166 , 3.26132, 118.32,
,,5.5693,0.00383445,5.56179 , 5.57682, 118.318,
,,3.48041,0.00261468,3.47529 , 3.48554, 118.32,
,,inf,-nan,-nan , -nan, 118.128,
,,13.5225,0.00482322,13.513 , 13.5319, 118.132,
,,18.3917,0.00749336,18.3771 , 18.4064, 118.132,
,,11.7868,0.00437122,11.7783 , 11.7954, 118.132,
,,inf,-nan,-nan , -nan, 118.786,
,,0.168165,0.000240965,0.167692 , 0.168637, 118.876,
,,1.12558,0.000775442,1.12406 , 1.1271, 118.924,
,,1.48845,0.00118111,1.48614 , 1.49077, 118.978,
,,
