模拟规模,期权种类,期权参数,期权价格,期权误差,95%误差上限,95%误差下限,运行时间(s)
4096,欧式看涨期权,S0: 100;K: 100;V: 0.2;R: 0.05;T: 1;模拟次数：4096;时间步数：300;,11.2596,0.230432,10.8079,11.7112, 0.006565,
,欧式看跌期权,,5.65612,0.140401,5.38093,5.93131, 0.006553,
,浮动亚式看涨期权,,6.35205,0.13581,6.08586,6.61824, 0.006623,
,浮动亚式看跌期权,,3.1618,0.0804615,3.00409,3.3195, 0.006615,
,固定亚式看涨期权,,5.85837,0.123141,5.61701,6.09972, 0.006609,
,固定亚式看跌期权,,3.44517,0.0861154,3.27638,3.61396, 0.007101,
,浮动价格回望看涨期权,,17.0266,0.227233,16.5812,17.4719, 0.006854,
,浮动价格回望看跌期权,,13.1673,0.157049,12.8595,13.4751, 0.006853,
,固定价格回望看涨期权,,18.7708,0.243291,18.2939,19.2476, 0.006938,
,固定价格回望看跌期权,,11.4231,0.145091,11.1387,11.7075, 0.006861,
,向上敲入巴黎看涨期权,S0: 12;K: 10;V: 0.2;R: 0.05;T: 1;,2.55625,0.0374612,2.48283,2.62967, 0.006746,
,向上敲出巴黎看涨期权,,0.154177,0.00736662,0.139738,0.168615, 0.006697,
,向下敲入巴黎看涨期权,S0: 12;K: 10;V: 0.2;R: 0.05;T: 1;,1.11286,0.0252575,1.06336,1.16237, 0.006738,
,向下敲出巴黎看涨期权,,1.59757,0.0386486,1.52181,1.67332, 0.006721,
16384,欧式看涨期权,S0: 100;K: 100;V: 0.2;R: 0.05;T: 1;模拟次数：16384;时间步数：300;,11.2255,0.116303,10.9976,11.4535, 0.02623,
,欧式看跌期权,,5.27588,0.0669668,5.14462,5.40713, 0.026424,
,浮动亚式看涨期权,,6.41799,0.0682067,6.2843,6.55167, 0.026488,
,浮动亚式看跌期权,,3.10169,0.0390753,3.02511,3.17828, 0.026482,
,固定亚式看涨期权,,5.95142,0.0622971,5.82932,6.07352, 0.026599,
,固定亚式看跌期权,,3.31808,0.0414627,3.23681,3.39935, 0.026477,
,浮动价格回望看涨期权,,17.406,0.114516,17.1816,17.6305, 0.027453,
,浮动价格回望看跌期权,,13.1425,0.076876,12.9918,13.2932, 0.027438,
,固定价格回望看涨期权,,19.0921,0.120698,18.8556,19.3287, 0.040503,
,固定价格回望看跌期权,,11.4564,0.0702073,11.3188,11.594, 0.034937,
,向上敲入巴黎看涨期权,S0: 12;K: 10;V: 0.2;R: 0.05;T: 1;,2.5793,0.0186604,2.54273,2.61587, 0.02697,
,向上敲出巴黎看涨期权,,0.160718,0.00380755,0.153255,0.168181, 0.026837,
,向下敲入巴黎看涨期权,S0: 12;K: 10;V: 0.2;R: 0.05;T: 1;,1.14245,0.0126364,1.11768,1.16721, 0.027311,
,向下敲出巴黎看涨期权,,1.59757,0.0193601,1.55963,1.63552, 0.028073,
