期权种类,期权参数,期权价格,期权误差,95%误差上界,95%误差下界,运行时间(s)
,,11.2596,0.230432,10.8079 , 11.7112, 0.013052,
,,5.65612,0.140401,5.38093 , 5.93131, 0.013034,
,,6.35205,0.13581,6.08586 , 6.61824, 0.013171,
,,3.1618,0.0804615,3.00409 , 3.3195, 0.013177,
,,5.85837,0.123141,5.61701 , 6.09972, 0.01317,
,,3.44517,0.0861154,3.27638 , 3.61396, 0.013162,
,,17.0266,0.227233,16.5812 , 17.4719, 0.013666,
,,13.1673,0.157049,12.8595 , 13.4751, 0.013654,
,,18.7708,0.243291,18.2939 , 19.2476, 0.013648,
,,11.4231,0.145091,11.1387 , 11.7075, 0.013647,
,,2.55625,0.0374612,2.48283 , 2.62967, 0.013382,
,,0.154177,0.00736662,0.139738 , 0.168615, 0.013372,
,,1.11286,0.0252575,1.06336 , 1.16237, 0.01342,
,,1.59757,0.0386486,1.52181 , 1.67332, 0.013381,
,,11.2255,0.116303,10.9976 , 11.4535, 0.026678,
,,5.27588,0.0669668,5.14462 , 5.40713, 0.056047,
,,6.41799,0.0682067,6.2843 , 6.55167, 0.053324,
,,3.10169,0.0390753,3.02511 , 3.17828, 0.048855,
,,5.95142,0.0622971,5.82932 , 6.07352, 0.04855,
,,3.31808,0.0414627,3.23681 , 3.39935, 0.0364,
,,17.406,0.114516,17.1816 , 17.6305, 0.048669,
,,13.1425,0.076876,12.9918 , 13.2932, 0.074057,
,,19.0921,0.120698,18.8556 , 19.3287, 0.046865,
,,11.4564,0.0702073,11.3188 , 11.594, 0.05205,
,,2.5793,0.0186604,2.54273 , 2.61587, 0.086936,
,,0.160718,0.00380755,0.153255 , 0.168181, 0.037021,
,,1.14245,0.0126364,1.11768 , 1.16721, 0.053711,
,,1.59757,0.0193601,1.55963 , 1.63552, 0.040594,
,,10.4607,0.0576331,10.3477 , 10.5736, 0.350136,
,,5.68478,0.0344095,5.61734 , 5.75222, 0.104783,
,,6.0573,0.033769,5.99111 , 6.12349, 0.105752,
,,3.31363,0.0200066,3.27441 , 3.35284, 0.118312,
,,5.5752,0.0307169,5.51499 , 5.6354, 0.211714,
,,3.54297,0.0212778,3.50127 , 3.58468, 0.212153,
,,16.6486,0.0570339,16.5368 , 16.7604, 0.215785,
,,13.6043,0.0390555,13.5278 , 13.6809, 0.219447,
,,18.3802,0.0601159,18.2624 , 18.498, 0.177893,
,,11.8727,0.0355754,11.803 , 11.9424, 0.216663,
,,2.44516,0.00928405,2.42696 , 2.46336, 0.198643,
,,0.166535,0.0019162,0.16278 , 0.170291, 0.129061,
,,1.1182,0.00619718,1.10605 , 1.13035, 0.107897,
,,1.4935,0.00948192,1.47491 , 1.51208, 0.107837,
,,10.3471,0.0285637,10.2911 , 10.4031, 0.447131,
,,5.67993,0.0171156,5.64638 , 5.71347, 0.42612,
,,5.97862,0.0167095,5.94587 , 6.01137, 0.42777,
,,3.30593,0.00993657,3.28645 , 3.3254, 0.451166,
,,5.53098,0.0152698,5.50105 , 5.56091, 0.423675,
,,3.53648,0.0105803,3.51574 , 3.55721, 0.450494,
,,16.5418,0.028348,16.4863 , 16.5974, 0.439406,
,,13.6368,0.019434,13.5987 , 13.6749, 0.458042,
,,18.304,0.0298632,18.2455 , 18.3626, 0.454355,
,,11.8746,0.0176524,11.84 , 11.9092, 0.439622,
,,2.43052,0.00461262,2.42148 , 2.43956, 0.459397,
,,0.166318,0.000960818,0.164435 , 0.168202, 0.430267,
,,1.11902,0.00309227,1.11296 , 1.12508, 0.459313,
,,1.47782,0.00470609,1.46859 , 1.48704, 0.436946,
,,10.4931,0.0144103,10.4649 , 10.5214, 1.70586,
,,5.53509,0.00841304,5.5186 , 5.55158, 1.73607,
,,6.05533,0.00841578,6.03883 , 6.07182, 1.72742,
,,3.24159,0.00491058,3.23197 , 3.25122, 1.72618,
,,5.60205,0.00769991,5.58696 , 5.61714, 1.74586,
,,3.45774,0.00520738,3.44753 , 3.46795, 1.73632,
,,16.6925,0.0142811,16.6645 , 16.7205, 1.78286,
,,13.4768,0.00961592,13.4579 , 13.4956, 1.78351,
,,18.4348,0.0150356,18.4053 , 18.4643, 1.80928,
,,11.7345,0.00872073,11.7174 , 11.7516, 1.79716,
,,2.45663,0.00231769,2.45209 , 2.46117, 1.81064,
,,0.167791,0.000481801,0.166847 , 0.168735, 1.80818,
,,1.12738,0.0015558,1.12433 , 1.13043, 1.77788,
,,1.49704,0.00236863,1.4924 , 1.50168, 1.74775,
,,10.438,0.00718314,10.4239 , 10.452, 6.91049,
,,5.57304,0.00422297,5.56476 , 5.58132, 6.8353,
,,6.02688,0.00419916,6.01865 , 6.03511, 6.85176,
,,3.25651,0.00246304,3.25168 , 3.26133, 6.9312,
,,5.57539,0.0038411,5.56786 , 5.58292, 6.93551,
,,3.48085,0.00261313,3.47573 , 3.48597, 6.94878,
,,16.644,0.00712113,16.6301 , 16.658, 7.23926,
,,13.5147,0.0048173,13.5052 , 13.5241, 7.13151,
,,18.3796,0.00750293,18.3649 , 18.3943, 7.12144,
,,11.7791,0.00437346,11.7705 , 11.7877, 7.22359,
,,2.44656,0.00115695,2.4443 , 2.44883, 6.98483,
,,0.1683,0.000241286,0.167827 , 0.168773, 7.08004,
,,1.1255,0.000776817,1.12398 , 1.12703, 7.05961,
,,1.48936,0.00118104,1.48705 , 1.49167, 7.08381,
,,
