期权种类,期权参数,期权价格,期权误差,95%误差上界,95%误差下界,运行时间(s)
,,0.459447,0.0103709,0.43912 , 0.479774, 0.000251,
,,0.432254,0.00989852,0.412853 , 0.451655, 0.000106,
,,5.95827,0.131748,5.70004 , 6.2165, 0.000302,
,,3.16302,0.0763599,3.01336 , 3.31269, 0.000261,
,,5.60209,0.119994,5.3669 , 5.83728, 0.000263,
,,3.40742,0.0839631,3.24285 , 3.57199, 0.000259,
,,16.6655,0.222869,16.2286 , 17.1023, 0.000274,
,,13.4604,0.153058,13.1604 , 13.7604, 0.000263,
,,18.4503,0.234084,17.9915 , 18.9091, 0.000271,
,,11.6756,0.139641,11.4019 , 11.9492, 0.000262,
,,2.4624,0.0365447,2.39077 , 2.53403, 0.00041,
,,0.162462,0.00755027,0.147663 , 0.17726, 0.000412,
,,1.10166,0.0244428,1.05375 , 1.14957, 0.000411,
,,1.5232,0.0376512,1.4494 , 1.597, 0.000412,
,,0.444218,0.00508827,0.434245 , 0.454191, 0.000208,
,,0.432978,0.0049171,0.42334 , 0.442615, 0.000156,
,,6.06381,0.0666675,5.93314 , 6.19448, 0.00043,
,,3.20114,0.0391394,3.12442 , 3.27785, 0.000394,
,,5.55329,0.060809,5.4341 , 5.67247, 0.000394,
,,3.48824,0.04191,3.4061 , 3.57039, 0.000387,
,,16.7103,0.112888,16.489 , 16.9315, 0.000409,
,,13.3958,0.076718,13.2454 , 13.5462, 0.000398,
,,18.3235,0.118884,18.0905 , 18.5565, 0.000396,
,,11.7826,0.0699197,11.6455 , 11.9196, 0.0004,
,,2.44998,0.0184322,2.41385 , 2.48611, 0.000513,
,,0.170286,0.00389449,0.162653 , 0.177919, 0.000516,
,,1.12896,0.0124324,1.1046 , 1.15333, 0.000508,
,,1.4913,0.0188301,1.45439 , 1.52821, 0.000515,
,,0.443377,0.00252572,0.438427 , 0.448327, 0.000486,
,,0.429768,0.00245977,0.424947 , 0.434589, 0.000372,
,,6.02502,0.0333157,5.95973 , 6.09032, 0.001174,
,,3.2197,0.0196048,3.18128 , 3.25813, 0.001138,
,,5.50533,0.0304186,5.4457 , 5.56495, 0.001143,
,,3.49352,0.02093,3.45249 , 3.53454, 0.001143,
,,16.596,0.0563856,16.4855 , 16.7066, 0.001164,
,,13.483,0.0384591,13.4076 , 13.5583, 0.001155,
,,18.2929,0.0597418,18.1758 , 18.41, 0.001156,
,,11.7868,0.0349473,11.7183 , 11.8553, 0.001152,
,,2.43376,0.0091894,2.41575 , 2.45177, 0.001409,
,,0.169457,0.00194197,0.165651 , 0.173263, 0.001426,
,,1.12409,0.00618759,1.11197 , 1.13622, 0.001414,
,,1.48015,0.00938716,1.46175 , 1.49855, 0.001434,
,,0.44543,0.00126801,0.442945 , 0.447915, 0.002076,
,,0.430348,0.00123269,0.427932 , 0.432764, 0.001251,
,,6.03329,0.0168172,6.00032 , 6.06625, 0.004357,
,,3.2407,0.00982303,3.22144 , 3.25995, 0.004239,
,,5.54673,0.0152712,5.5168 , 5.57667, 0.004242,
,,3.48784,0.0104643,3.46733 , 3.50835, 0.004318,
,,16.6039,0.0283576,16.5483 , 16.6595, 0.0044,
,,13.5232,0.0193007,13.4854 , 13.5611, 0.004398,
,,18.373,0.0298624,18.3145 , 18.4316, 0.00433,
,,11.77,0.0174865,11.7358 , 11.8043, 0.004365,
,,2.44097,0.00462117,2.43191 , 2.45003, 0.005306,
,,0.170209,0.000973432,0.168301 , 0.172117, 0.005486,
,,1.11953,0.00308679,1.11348 , 1.12558, 0.005747,
,,1.489,0.00472142,1.47975 , 1.49825, 0.005833,
,,0.445858,0.000634574,0.444614 , 0.447102, 0.008553,
,,0.430796,0.000616932,0.429587 , 0.432005, 0.004731,
,,6.0303,0.00839327,6.01385 , 6.04675, 0.016957,
,,3.24922,0.00492549,3.23957 , 3.25887, 0.01722,
,,5.59338,0.00769521,5.5783 , 5.60846, 0.017514,
,,3.47948,0.00522928,3.46923 , 3.48973, 0.018822,
,,16.6162,0.0142119,16.5883 , 16.644, 0.020427,
,,13.5155,0.00963082,13.4966 , 13.5343, 0.020756,
,,18.3657,0.0149854,18.3363 , 18.3951, 0.020457,
,,11.7801,0.00875157,11.763 , 11.7973, 0.020436,
,,2.44498,0.00231185,2.44045 , 2.44952, 0.02301,
,,0.168451,0.000482733,0.167505 , 0.169398, 0.022485,
,,1.12706,0.00155259,1.12402 , 1.1301, 0.022397,
,,1.48968,0.00236233,1.48505 , 1.49431, 0.022244,
,,0.446402,0.000317443,0.445779 , 0.447024, 0.031703,
,,0.430741,0.000308469,0.430136 , 0.431345, 0.031652,
,,6.02001,0.00419632,6.01179 , 6.02824, 0.082668,
,,3.25313,0.00246328,3.2483 , 3.25796, 0.083637,
,,5.57833,0.00384025,5.5708 , 5.58586, 0.091858,
,,3.4808,0.00261497,3.47567 , 3.48592, 0.089317,
,,16.6328,0.00711303,16.6189 , 16.6467, 0.089166,
,,13.5106,0.00481928,13.5012 , 13.5201, 0.090755,
,,18.3737,0.00749641,18.359 , 18.3884, 0.087199,
,,11.7791,0.00437528,11.7705 , 11.7877, 0.08818,
,,2.44667,0.00115563,2.44441 , 2.44894, 0.102666,
,,0.168594,0.000241484,0.168121 , 0.169067, 0.09889,
,,1.1253,0.00077527,1.12378 , 1.12682, 0.097406,
,,1.49143,0.00118147,1.48912 , 1.49375, 0.098269,
,,
